,sci_name_id,park_id,category_name,family,order,common_names
0,0,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Cervidae,Artiodactyla,Moose
1,1,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Cervidae,Artiodactyla,"Northern White-Tailed Deer, Virginia Deer, White-Tailed Deer"
2,2,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Canidae,Carnivora,"Coyote, Eastern Coyote"
3,3,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Canidae,Carnivora,"Black Fox, Cross Fox, Eastern Red Fox, Fox, Red Fox, Silver Fox"
4,4,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Mustelidae,Carnivora,"Otter, River Otter"
5,5,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Mustelidae,Carnivora,"Blackcat, Fisher, Pekan"
6,6,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Mustelidae,Carnivora,"Bonaparte Weasel, Bonaparte's Weasel, Ermine, Short-Tailed Weasel"
7,7,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Mustelidae,Carnivora,"Long-Tailed Weasel, New York Weasel, Northern Long-Tailed Weasel"
8,8,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Mustelidae,Carnivora,"American Mink, Mink"
9,9,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Procyonidae,Carnivora,"Common Raccoon, Raccoon"
10,10,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Ursidae,Carnivora,Black Bear
11,11,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Vespertilionidae,Chiroptera,"Big Brown Bat, Common Brown Bat"
12,12,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Vespertilionidae,Chiroptera,Silver-Haired Bat
13,13,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Vespertilionidae,Chiroptera,"Eastern Red Bat, New York Bat, Northern Red Bat, Red Bat"
14,14,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Vespertilionidae,Chiroptera,Hoary Bat
15,15,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Vespertilionidae,Chiroptera,"Keen's Myotis, Northern Long-Eared Bat, Northern Myotis, Say's Bat"
16,16,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Vespertilionidae,Chiroptera,"Little Brown Bat, Little Brown Myotis"
17,17,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Leporidae,Lagomorpha,"Snowshoe Hare, Varying Hare"
18,18,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Castoridae,Rodentia,"American Beaver, Beaver, Canadian Beaver"
19,19,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Cricetidae,Rodentia,"Boreal Redback Vole, Red-Backed Mouse, Red-Backed Vole, Southern Red-Backed Vole, White-Mountain Red-Backed Mouse"
20,20,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Cricetidae,Rodentia,White-Footed Mouse
21,21,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Cricetidae,Rodentia,Deer Mouse
22,22,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Cricetidae,Rodentia,"Cooper Lemming Mouse, Southern Bog Lemming"
23,23,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Dipodidae,Rodentia,Woodland Jumping Mouse
24,24,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Dipodidae,Rodentia,"Hudson Bay Jumping Mouse, Kangaroo Mouse, Meadow Jumping Mouse"
25,25,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Erethizontidae,Rodentia,"Hedgehog, Porcupine"
26,26,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Sciuridae,Rodentia,"Mearns Flying Squirrel, Northern Flying Squirrel"
27,27,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Sciuridae,Rodentia,"Groundhog, New England Woodchuck, Woodchuck"
28,28,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Sciuridae,Rodentia,"Eastern Gray Squirrel, Gray Squirrel, Northern Gray Squirrel"
29,29,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Sciuridae,Rodentia,"Northeastern Chipmunk, Striped Squirrel, Eastern Chipmunk, Ground Squirrel, Lyster Chipmunk"
30,30,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Sciuridae,Rodentia,"Chickaree, Red Squirrel"
31,31,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Soricidae,Soricomorpha,"Mole Shrew, Northern Short-Tailed Shrew, Short-Tailed Shrew"
32,32,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Soricidae,Soricomorpha,Masked Shrew
33,33,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Soricidae,Soricomorpha,"Northern Smoky Shrew, Smoky Shrew"
34,34,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Soricidae,Soricomorpha,"Hoy's Pygmy Shrew, Pygmy Shrew, Thompson's Pygmy Shrew"
35,35,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Soricidae,Soricomorpha,"Northern Water Shrew, Water Shrew, White-Lipped Water Shrew"
36,36,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Mammal,Talpidae,Soricomorpha,Star-Nosed Mole
37,37,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Accipitridae,Accipitriformes,Cooper's Hawk
38,38,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Accipitridae,Accipitriformes,"Eastern Goshawk, Goshawk, Northern Goshawk"
39,39,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Accipitridae,Accipitriformes,"Northern Sharp-Shinned Hawk, Sharp-Shinned Hawk"
40,40,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Accipitridae,Accipitriformes,"American Golden Eagle, Golden Eagle"
41,41,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Accipitridae,Accipitriformes,"Eastern Red-Tailed Hawk, Red-Tailed Hawk"
42,42,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Accipitridae,Accipitriformes,"American Rough-Legged Hawk, Rough-Legged Hawk"
