sci_name_id,sci_name
0,Alces alces
1,Odocoileus virginianus
2,Canis latrans
3,Vulpes vulpes
4,Lutra canadensis
5,Martes pennanti
6,Mustela erminea
7,Mustela frenata
8,Mustela vison
9,Procyon lotor
10,Ursus americanus
11,Eptesicus fuscus
12,Lasionycteris noctivagans
13,Lasiurus borealis
14,Lasiurus cinereus
15,Myotis keenii
16,Myotis lucifugus
17,Lepus americanus
18,Castor canadensis
19,Clethrionomys gapperi
20,Peromyscus leucopus
21,Peromyscus maniculatus
22,Synaptomys cooperi
23,Napaeozapus insignis
24,Zapus hudsonius
25,Erethizon dorsatum
26,Glaucomys sabrinus
27,Marmota monax
28,Sciurus carolinensis
29,Tamias striatus
30,Tamiasciurus hudsonicus
31,Blarina brevicauda
32,Sorex cinereus
33,Sorex fumeus
34,Sorex hoyi
35,Sorex palustris
36,Condylura cristata
37,Accipiter cooperii
38,Accipiter gentilis
39,Accipiter striatus
40,Aquila chrysaetos
41,Buteo jamaicensis
42,Buteo lagopus
43,Buteo lineatus
44,Buteo platypterus
45,Circus cyaneus
46,Haliaeetus leucocephalus
47,Cathartes aura
48,Pandion haliaetus
49,Aix sponsa
50,Anas acuta
51,Anas americana
52,Anas crecca
53,Anas discors
54,Anas penelope
55,Anas platyrhynchos
56,Anas rubripes
57,Anas strepera
58,Anser albifrons
59,Aythya collaris
60,Aythya marila
61,Aythya valisineria
62,Branta canadensis
63,Bucephala albeola
64,Bucephala clangula
65,Chen caerulescens
66,Histrionicus histrionicus
67,Lophodytes cucullatus
68,Mergus merganser
69,Mergus serrator
70,Somateria mollissima
71,Chaetura pelagica
72,Archilochus colubris
73,Caprimulgus vociferus
74,Chordeiles minor
75,Cepphus grylle
76,Charadrius vociferus
77,Pluvialis squatarola
78,Larus argentatus
79,Larus atricilla
80,Larus delawarensis
81,Larus marinus
82,Sterna hirundo
83,Recurvirostra americana
84,Actitis macularia
85,Arenaria interpres
86,Bartramia longicauda
87,Calidris fuscicollis
88,Calidris maritima
89,Calidris melanotos
90,Calidris minutilla
91,Calidris pusilla
92,Gallinago gallinago
93,Limnodromus griseus
94,Numenius phaeopus
95,Scolopax minor
96,Tringa flavipes
97,Tringa melanoleuca
98,Tringa solitaria
99,Zenaida macroura
100,Ceryle alcyon
101,Coccyzus americanus
102,Coccyzus erythropthalmus
103,Falco columbarius
104,Falco peregrinus
105,Falco rusticolus
106,Falco sparverius
107,Bonasa umbellus
108,Falcipennis canadensis
109,Gavia immer
110,Fulica americana
111,Gallinula chloropus
112,Porphyrula martinica
113,Porzana carolina
114,Rallus limicola
115,Eremophila alpestris
116,Bombycilla cedrorum
117,Bombycilla garrulus
118,Plectrophenax nivalis
119,Passerina cyanea
120,Pheucticus ludovicianus
121,Piranga olivacea
122,Certhia americana
123,Corvus brachyrhynchos
124,Corvus corax
125,Cyanocitta cristata
126,Perisoreus canadensis
127,Ammodramus nelsoni
128,Junco hyemalis
129,Melospiza georgiana
130,Melospiza lincolnii
131,Melospiza melodia
132,Passerculus sandwichensis
133,Pipilo erythrophthalmus
134,Pooecetes gramineus
135,Spizella arborea
136,Spizella passerina
137,Spizella pusilla
138,Zonotrichia albicollis
139,Carduelis pinus
140,Carduelis tristis
141,Carpodacus mexicanus
142,Carpodacus purpureus
143,Loxia curvirostra
144,Loxia leucoptera
145,Hirundo rustica
146,Petrochelidon pyrrhonota
147,Progne subis
148,Stelgidopteryx serripennis
149,Tachycineta bicolor
150,Agelaius phoeniceus
151,Euphagus carolinus
152,Icterus galbula
153,Molothrus ater
154,Quiscalus quiscula
155,Sturnella magna
156,Dumetella carolinensis
157,Toxostoma rufum
158,Anthus rubescens
159,Poecile atricapillus
160,Poecile hudsonicus
161,Dendroica caerulescens
162,Dendroica castanea
163,Dendroica coronata
164,Dendroica discolor
165,Dendroica dominica
166,Dendroica fusca
167,Dendroica magnolia
168,Dendroica palmarum
169,Dendroica pensylvanica
170,Dendroica petechia
171,Dendroica striata
172,Dendroica tigrina
173,Dendroica townsendi
174,Dendroica virens
175,Geothlypis trichas
176,Mniotilta varia
177,Oporornis agilis
178,Oporornis formosus
179,Oporornis philadelphia
180,Parula americana
181,Seiurus aurocapillus
182,Seiurus noveboracensis
183,Setophaga ruticilla
184,Vermivora celata
185,Vermivora chrysoptera
186,Vermivora peregrina
187,Vermivora pinus
188,Vermivora ruficapilla
189,Wilsonia canadensis
190,Wilsonia citrina
191,Wilsonia pusilla
192,Polioptila caerulea
193,Regulus calendula
194,Regulus satrapa
195,Sitta canadensis
196,Sitta carolinensis
197,Cistothorus palustris
198,Cistothorus platensis
199,Troglodytes troglodytes
200,Catharus fuscescens
201,Catharus guttatus
202,Catharus minimus
203,Catharus ustulatus
204,Hylocichla mustelina
205,Sialia sialis
206,Turdus migratorius
207,Contopus cooperi
208,Contopus virens
209,Empidonax alnorum
210,Empidonax flaviventris
211,Empidonax minimus
212,Empidonax traillii
213,Myiarchus crinitus
214,Sayornis phoebe
215,Tyrannus tyrannus
216,Vireo flavifrons
217,Vireo gilvus
218,Vireo griseus
219,Vireo olivaceus
220,Vireo philadelphicus
221,Vireo solitarius
222,Ardea alba
223,Ardea herodias
224,Botaurus lentiginosus
225,Butorides virescens
226,Egretta caerulea
227,Egretta thula
228,Egretta tricolor
229,Ixobrychus exilis
230,Nyctanassa violacea
231,Nycticorax nycticorax
232,Nycticorax violaceus
233,Plegadis falcinellus
234,Colaptes auratus
235,Dryocopus pileatus
236,Melanerpes carolinus
237,Picoides arcticus
238,Picoides pubescens
239,Picoides tridactylus
240,Picoides villosus
241,Sphyrapicus varius
242,Podilymbus podiceps
243,Aegolius acadicus
244,Asio otus
245,Bubo virginianus
246,Nyctea scandiaca
247,Otus asio
248,Strix varia
249,Surnia ulula
250,Phalacrocorax auritus
251,Diadophis punctatus
252,Lampropeltis triangulum
253,Liochlorophis vernalis
254,Storeria occipitomaculata
255,Thamnophis sirtalis
256,Chelydra serpentina
257,Chrysemys picta
258,Bufo americanus
259,Pseudacris crucifer
260,Rana catesbeiana
261,Rana clamitans
262,Rana palustris
263,Rana sylvatica
264,Ambystoma maculatum
265,Desmognathus fuscus
266,Eurycea bislineata
267,Hemidactylium scutatum
268,Notophthalmus viridescens
269,Antilocapra americana
270,Ovis canadensis
271,Cervus canadensis
272,Odocoileus hemionus
273,Canis latrans
274,Urocyon cinereoargenteus
275,Vulpes macrotis
276,Vulpes vulpes
277,Lynx rufus
278,Puma concolor
279,Mephitis mephitis
280,Spilogale gracilis
281,Lontra canadensis
282,Taxidea taxus
283,Bassariscus astutus
284,Procyon lotor
285,Ursus americanus
286,Nyctinomops macrotis
287,Tadarida brasiliensis
288,Antrozous pallidus
289,Lasiurus cinereus
290,Myotis californicus
291,Myotis yumanensis
292,Pipistrellus hesperus
293,Lepus californicus
294,Sylvilagus audubonii
295,Castor canadensis
296,Neotoma cinerea
297,Neotoma lepida
298,Ondatra zibethicus
299,Onychomys leucogaster
300,Peromyscus boylii
301,Peromyscus crinitus
302,Peromyscus maniculatus
303,Peromyscus truei
304,Reithrodontomys megalotis
305,Erethizon dorsatum
306,Thomomys bottae
307,Dipodomys ordii
308,Perognathus flavescens
309,Ammospermophilus leucurus
310,Cynomys leucurus
311,Neotamias rufus
312,Spermophilus variegatus
313,Accipiter cooperii
314,Accipiter gentilis
315,Accipiter striatus
316,Aquila chrysaetos
317,Buteo jamaicensis
318,Buteo swainsoni
319,Circus cyaneus
320,Haliaeetus leucocephalus
321,Cathartes aura
322,Gymnogyps californianus
323,Pandion haliaetus
324,Anas americana
325,Anas crecca
326,Anas cyanoptera
327,Anas platyrhynchos
328,Branta canadensis
329,Bucephala clangula
330,Mergus merganser
331,Aeronautes saxatalis
332,Archilochus alexandri
333,Selasphorus platycercus
334,Selasphorus rufus
335,Chordeiles minor
336,Phalaenoptilus nuttallii
337,Charadrius vociferus
338,Actitis macularius
339,Calidris minutilla
340,Gallinago gallinago
341,Numenius americanus
342,Tringa solitaria
343,Columba livia
344,Zenaida macroura
345,Ceryle alcyon
346,Coccyzus americanus
347,Falco columbarius
348,Falco mexicanus
349,Falco peregrinus
350,Falco sparverius
351,Alectoris chukar
352,Meleagris gallopavo
353,Porzana carolina
354,Rallus limicola
355,Psaltriparus minimus
356,Eremophila alpestris
357,Bombycilla cedrorum
358,Passerina amoena
359,Passerina amoena X cyanea
360,Passerina caerulea
361,Passerina cyanea
362,Pheucticus ludovicianus
363,Pheucticus melanocephalus
364,Piranga ludoviciana
365,Certhia americana
366,Aphelocoma californica
367,Corvus brachyrhynchos
368,Corvus corax
369,Cyanocitta stelleri
370,Gymnorhinus cyanocephalus
371,Nucifraga columbiana
372,Pica hudsonia
373,Amphispiza belli
374,Amphispiza bilineata
375,Calamospiza melanocorys
376,Chondestes grammacus
377,Junco hyemalis caniceps
378,Junco hyemalis hyemalis
379,Junco hyemalis mearnsi
380,Junco hyemalis oreganus
381,Melospiza georgiana
382,Melospiza lincolnii
383,Melospiza melodia
384,Passerculus sandwichensis
385,Pipilo chlorurus
386,Pipilo maculatus
387,Pooecetes gramineus
388,Spizella arborea
389,Spizella breweri
390,Spizella passerina
391,Zonotrichia albicollis
392,Zonotrichia atricapilla
393,Zonotrichia leucophrys
394,Zonotrichia querula
395,Carduelis flammea
396,Carduelis pinus
397,Carduelis psaltria
398,Carduelis tristis
399,Carpodacus cassinii
400,Carpodacus mexicanus
401,Carpodacus purpureus
402,Coccothraustes vespertinus
403,Leucosticte atrata
404,Leucosticte tephrocotis
405,Hirundo rustica
406,Petrochelidon pyrrhonota
407,Riparia riparia
408,Stelgidopteryx serripennis
409,Tachycineta bicolor
410,Tachycineta thalassina
411,Agelaius phoeniceus
412,Euphagus cyanocephalus
413,Icterus bullockii
414,Icterus parisorum
415,Molothrus ater
416,Sturnella neglecta
